Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 245994 reads, 0 truncates, 245993 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (298 total secs)
0 inserts, 0 modifies, 248954 reads, 0 truncates, 248954 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (300 total secs)
0 inserts, 0 modifies, 314607 reads, 0 truncates, 314608 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (302 total secs)
0 inserts, 0 modifies, 319995 reads, 0 truncates, 319995 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (304 total secs)
0 inserts, 0 modifies, 269743 reads, 0 truncates, 269744 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (306 total secs)
0 inserts, 0 modifies, 276308 reads, 0 truncates, 276308 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (308 total secs)
0 inserts, 0 modifies, 316659 reads, 0 truncates, 316658 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (310 total secs)
0 inserts, 0 modifies, 285360 reads, 0 truncates, 285359 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (312 total secs)
0 inserts, 0 modifies, 312791 reads, 0 truncates, 312793 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (314 total secs)
0 inserts, 0 modifies, 211957 reads, 0 truncates, 211956 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (316 total secs)
0 inserts, 0 modifies, 190844 reads, 0 truncates, 190847 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (318 total secs)
0 inserts, 0 modifies, 243256 reads, 0 truncates, 243253 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (320 total secs)
0 inserts, 0 modifies, 315510 reads, 0 truncates, 315509 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (322 total secs)
0 inserts, 0 modifies, 320328 reads, 0 truncates, 320329 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (324 total secs)
0 inserts, 0 modifies, 261511 reads, 0 truncates, 261513 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (326 total secs)
0 inserts, 0 modifies, 323675 reads, 0 truncates, 323674 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (328 total secs)
