Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 207845 reads, 0 truncates, 207845 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (250 total secs)
0 inserts, 0 modifies, 199969 reads, 0 truncates, 199968 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (252 total secs)
0 inserts, 0 modifies, 209403 reads, 0 truncates, 209404 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (254 total secs)
0 inserts, 0 modifies, 223659 reads, 0 truncates, 223658 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (256 total secs)
0 inserts, 0 modifies, 178944 reads, 0 truncates, 178946 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (258 total secs)
0 inserts, 0 modifies, 227771 reads, 0 truncates, 227770 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (260 total secs)
0 inserts, 0 modifies, 187644 reads, 0 truncates, 187644 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (262 total secs)
0 inserts, 0 modifies, 186548 reads, 0 truncates, 186546 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (264 total secs)
0 inserts, 0 modifies, 223118 reads, 0 truncates, 223117 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (266 total secs)
0 inserts, 0 modifies, 184667 reads, 0 truncates, 184669 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (268 total secs)
0 inserts, 0 modifies, 225447 reads, 0 truncates, 225446 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (270 total secs)
0 inserts, 0 modifies, 122289 reads, 0 truncates, 122290 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (272 total secs)
0 inserts, 0 modifies, 221191 reads, 0 truncates, 221189 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (274 total secs)
0 inserts, 0 modifies, 222337 reads, 0 truncates, 222338 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (276 total secs)
0 inserts, 0 modifies, 216326 reads, 0 truncates, 216328 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (278 total secs)
0 inserts, 0 modifies, 223577 reads, 0 truncates, 223577 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (280 total secs)
0 inserts, 0 modifies, 219145 reads, 0 truncates, 219144 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (282 total secs)
0 inserts, 0 modifies, 220266 reads, 0 truncates, 220266 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (284 total secs)
0 inserts, 0 modifies, 223308 reads, 0 truncates, 223309 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (286 total secs)
0 inserts, 0 modifies, 223592 reads, 0 truncates, 223592 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (288 total secs)
0 inserts, 0 modifies, 221958 reads, 0 truncates, 221956 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (290 total secs)
0 inserts, 0 modifies, 176976 reads, 0 truncates, 176976 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (292 total secs)
0 inserts, 0 modifies, 222771 reads, 0 truncates, 222773 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (294 total secs)
0 inserts, 0 modifies, 222694 reads, 0 truncates, 222694 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (296 total secs)
0 inserts, 0 modifies, 221203 reads, 0 truncates, 221203 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (298 total secs)
0 inserts, 0 modifies, 168755 reads, 0 truncates, 168755 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (300 total secs)
0 inserts, 0 modifies, 211139 reads, 0 truncates, 211138 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (302 total secs)
0 inserts, 0 modifies, 223671 reads, 0 truncates, 223672 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (304 total secs)
0 inserts, 0 modifies, 225120 reads, 0 truncates, 225118 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (306 total secs)
0 inserts, 0 modifies, 137901 reads, 0 truncates, 137903 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (308 total secs)
0 inserts, 0 modifies, 206193 reads, 0 truncates, 206193 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (310 total secs)
0 inserts, 0 modifies, 139883 reads, 0 truncates, 139883 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (312 total secs)
0 inserts, 0 modifies, 223883 reads, 0 truncates, 223883 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (314 total secs)
0 inserts, 0 modifies, 226387 reads, 0 truncates, 226387 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (316 total secs)
0 inserts, 0 modifies, 182973 reads, 0 truncates, 182971 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (318 total secs)
0 inserts, 0 modifies, 226656 reads, 0 truncates, 226657 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (320 total secs)
0 inserts, 0 modifies, 146582 reads, 0 truncates, 146582 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (322 total secs)
0 inserts, 0 modifies, 224787 reads, 0 truncates, 224789 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (324 total secs)
0 inserts, 0 modifies, 224827 reads, 0 truncates, 224825 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (326 total secs)
0 inserts, 0 modifies, 167783 reads, 0 truncates, 167784 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (328 total secs)
0 inserts, 0 modifies, 224383 reads, 0 truncates, 224383 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (330 total secs)
0 inserts, 0 modifies, 207891 reads, 0 truncates, 207889 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (332 total secs)
0 inserts, 0 modifies, 193958 reads, 0 truncates, 193959 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (334 total secs)
0 inserts, 0 modifies, 225782 reads, 0 truncates, 225784 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (336 total secs)
0 inserts, 0 modifies, 198626 reads, 0 truncates, 198623 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (338 total secs)
0 inserts, 0 modifies, 221071 reads, 0 truncates, 221072 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (340 total secs)
0 inserts, 0 modifies, 224976 reads, 0 truncates, 224976 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (342 total secs)
